Country Name,Date,"Transit: Railways, (million passenger-km)","Transit: Passenger cars (per 1,000 people)",Business: Mobile phone subscribers,Business: Internet users (per 100 people),"Health: Mortality, under-5 (per 1,000 live births)",Health: Health expenditure per capita (current US$),"Health: Health expenditure, total (% GDP)",Population: Total (count),Population: Urban (count),"Population:: Birth rate, crude (per 1,000)","Health: Life expectancy at birth, female (years)","Health: Life expectancy at birth, male (years)","Health: Life expectancy at birth, total (years)",Population: Ages 0-14 (% of total),Population: Ages 15-64 (% of total),Population: Ages 65+ (% of total),Finance: GDP (current US$),Finance: GDP per capita (current US$),Destinations,Sources
Afghanistan,7/1/2000,0,,0,,151,11,8,"25,950,816","5,527,524",51,45,45,45,48,50,2,,,"[('Iran, Islamic Rep.', '762129'), ('Kuwait', '88350'), ('United States', '44893')]","[('Bangladesh', '41817'), ('Pakistan', '14877'), ('Nepal', '7169')]"
Albania,7/1/2000,125,,"29,791",0,29,75,6,"3,071,856","1,280,964",17,77,71,74,30,63,7,"3,686,649,387","1,200","[('Greece', '420838'), ('Italy', '275300'), ('Germany', '221897')]","[('Greece', '67508'), ('Macedonia, FYR', '5396'), ('Hungary', '599')]"
Algeria,7/1/2000,"1,142",,"86,000",0,49,63,3,"30,533,827","18,259,229",21,71,69,70,34,62,4,"54,790,058,957","1,794","[('France', '1057135'), ('Israel', '46734'), ('United Kingdom', '40555')]","[('Morocco', '41770'), ('France', '28772'), ('Tunisia', '5426')]"
American Samoa,7/1/2000,,,"1,992",,,,,"57,625","51,171",,,,,,,,,,"[('United States', '16339'), ('Samoa', '1920'), ('New Zealand', '391')]","[('Samoa', '17777'), ('United States', '3605'), ('Tonga', '1150')]"
Andorra,7/1/2000,,,"23,543",11,5,"1,289",8,"64,634","59,722",11,,,,,,,"1,133,644,295","17,539","[('Spain', '2888'), ('France', '394'), ('Portugal', '371')]","[('Spain', '24505'), ('Portugal', '8513'), ('France', '4346')]"
Angola,7/1/2000,,,"25,806",0,200,15,2,"13,926,373","6,823,923",50,47,44,45,48,50,2,"9,129,180,361",656,"[('Portugal', '167578'), ('Namibia', '52200'), ('United Kingdom', '33459')]","[('Portugal', '10113'), ('Cape Verde', '6780'), ('Sao Tome and Principe', '5915')]"
Antigua and Barbuda,7/1/2000,,,"22,000",6,15,411,5,"77,656","24,928",21,,,,,,,"802,526,701","10,334","[('United States', '19151'), ('Philippines', '5791'), ('Virgin Islands (U.S.)', '4842')]","[('Guyana', '3638'), ('Dominica', '2675'), ('Jamaica', '2249')]"
Argentina,7/1/2000,,,"6,487,950",7,20,689,9,"36,930,709","33,274,569",19,78,70,74,28,62,10,"284,203,745,280","7,696","[('United States', '133210'), ('Spain', '83803'), ('Paraguay', '64284')]","[('Paraguay', '331688'), ('Bolivia', '237213'), ('Italy', '224155')]"
Armenia,7/1/2000,47,,"17,486",1,33,41,7,"3,076,098","2,002,540",13,74,68,71,26,64,10,"1,911,563,665",621,"[('Russian Federation', '481328'), ('United States', '99985'), ('Azerbaijan', '89898')]","[('Azerbaijan', '115689'), ('Georgia', '66796'), ('Russian Federation', '29077')]"
Aruba,7/1/2000,,,"15,000",15,,,,"90,271","42,157",14,76,71,74,23,69,7,"1,858,659,293","20,590","[('Netherlands Antilles', '3317'), ('United States', '2101'), ('Netherlands', '1104')]","[('Colombia', '7047'), ('Netherlands', '3678'), ('Dominican Republic', '3630')]"
Australia,7/1/2000,"1,265",,"8,562,000",47,6,"1,728",8,"19,153,000","16,701,416",13,82,77,79,21,67,12,"416,887,521,196","21,766","[('United Kingdom', '113700'), ('United States', '74459'), ('New Zealand', '56375')]","[('United Kingdom', '1026553'), ('New Zealand', '350498'), ('Italy', '216676')]"
Austria,7/1/2000,"8,318",,"6,117,000",34,6,"2,361",10,"8,011,566","5,271,610",10,81,75,78,17,68,15,"192,070,749,954","23,974","[('Germany', '189096'), ('United States', '72126'), ('Serbia and Montenegro', '61465')]","[('Serbia and Montenegro', '187588'), ('Turkey', '179638'), ('Bosnia and Herzegovina', '152381')]"
